PKGNAME|PKGCATEGORY|AUTOSWITCH|INSTALLTYPE|PKGDESCRIPTION
python-qt5|tools|Y|s|python qt interface for gui development.
chrome-gnome-shell|tools|Y|s|shell in a chrome browser tool.
seahorse|tools|Y|s|Seahorse is a graphical interface for managing and using encryption keys.
pv|tools|Y|s|compress and track progress over terminals for data transfffer.
dropbox|tools|Y|c|dropbox linux client.
smartmontools|tools|Y|s|hard disk monitoring tools.
k3b|tools|Y|s|disk burning utility.
expandrive|tools|Y|c|ExpanDrive Cloud Drive Mounting software.
vinagre|tools|Y|s|Vinagre is a VNC client for the GNOME desktop.
setroubleshoot|tools|Y|s|Application that allows you to view setroubleshoot-server messages.
calibre|tools|Y|s|open source book reader for Linux.
blivet-gui|tools|Y|s|very useful gui for dealing with lvm encrypted and lvm volumes.
dislocker|tools|Y|s|unlocking lvm encrypted volumes in Linux.
sysstat|tools|Y|s|Very useful for monitoring Linux cpu core load and other stats in real time.
valgrind|tools|Y|s|Memory detection tool for c,cpp development.
valgrind.i686|tools|Y|s|memory leakage detection tools for c,cpp programs, x86 compatible.
svn|tools|Y|s|subversion client for Linux.
mod_dav_svn|tools|Y|s|Required for apache based web servers.
git|tools|Y|s|git client for software development over git repository.
strace|tools|Y|s|Very useful tool for tracing system calls on running processes.
gitg|tools|Y|s|A graphical user interface for git client.
gradle|tools|Y|s|build tool for java development projects.
ElectricFence|tools|Y|s|Memory leakage detection in c,c++ binaries.
scons|tools|Y|s|Python related documentation processing tool.
vim|tools|Y|s|enhanced vi, vim editor for Linux.
gvim|tools|Y|s|gui vi tool for development.
emacs|tools|Y|s|emacs text editor for Linux.
sublime-text-editor|tools|Y|c|SubLime Text Editor for Fedora Linux Workstation
atom-ide-editor|tools|Y|c|Atom Linux IDE editor. Powerful ide for developers.
brasero|multimedia|Y|s|brasero for cd/dvd buring.
rpmfusion|multimedia|Y|c|RPM Fusion repositories for additional third party mutimedia codecs etc.
mplayer|multimedia|Y|s|mplayer for Linux. A video player.
mencoder|multimedia|Y|s|encoder for music and file processing format.
xmms-skins|multimedia|Y|c|xmms mp3 player different skins for the player look.
youtube-dl|multimedia|Y|s|Youtube video downloading software using python.
openssl|multimedia|Y|s|openssl required for encryption and decryption development using aes.
compat-openssl10|multimedia|Y|s|compatlib latest for openssl.Backward compatibility.
xmms|multimedia|Y|s|xmms multimedia and mp3 player.
xmms-ui|multimedia|Y|s|xmms gui component.
xmms-skins|multimedia|Y|c|xmms skins customized for feel and look.
gstreamer|multimedia|Y|s|audio, video and plugins extra.
gstreamer-plugins-base|multimedia|Y|s|audio, video, plugins base.
gimp|tools|Y|s|gimp [ GNU Image Manipulation program ]
libguestfs-tools|tools|Y|s|Install the tools for mounting cow2 file format [ required for solace testing ].
vlc|multimedia|Y|s|vlc media player.
avidemux|multimedia|Y|s|The video and audio multiplexer.
simple-scan|multimedia|Y|s|Simple Scan Utility
simplescreenrecorder|multimedia|Y|s|Video recording utility for screen.
ffmpeg|multimedia|Y|s|The ffmpeg package coversion package, translator and encoder.
xine|multimedia|Y|s|Additional video players for Linux.
mplayer|multimedia|Y|s|The mplayer for Linux.
mplayer-gui|multimedia|Y|s|The mplayer GUI client.
mplayer-skins|multimedia|Y|c|The mplayer skins for look and feel.
bluejeans|multimedia|Y|c|bluejeans video/audio conferencing rpm required for facebook interview.
pavucontrol|multimedia|Y|s|Install pulse and audio control fine grained.
skype|multimedia|Y|c|Skype for Linux.First Install dependencies.
tuxpaint|multimedia|Y|s|Tux Paint installation.
gstreamer1-libav|multimedia|Y|s|Multi Media codecs.
pulseaudio-equalizer|multimedia|Y|c|Install the pulseaudio equalizer[https://www.fosslinux.com/1584/how-to-install-pulse-audio-equalizer-in-fedora-25.htm/]
gstreamer-extra-plugins|multimedia|Y|c|Install the additional codecs and required propritetary packages.
gcc-c++|langs|Y|s|g++ cpp compiler suite for Linux.
glibc-devel.i686|langs|Y|s|c library for development x86 32 bit.
libgcc.i686|langs|Y|s|gcc libraries for x86 32 bit arch.
libstdc++.i686|langs|Y|s|c++ std library for x86 32 bit arch.
eclipse|langs|Y|s|eclipse for fedora. It is not working in fc31
pam-devel|langs|Y|s|pluggable authentication module.
pam-devel.i686|langs|Y|s|pluggable authentication module development.
openssl-devel|langs|Y|s|openssl based development libraries for debug.
openssl-devel.i686|langs|Y|s|openssl development debug Library.
java-1.8.0-openjdk-devel|langs|Y|s|open source java jvm implementation.
openssl-libs.i686|langs|Y|s|openssl library 32 bit compatiable. 
zlib|langs|Y|s|zlib compression utility.
zlib.i686|langs|Y|s|zlib utility compression tool x32 compatiable library.
openssl-libs|langs|Y|s|openssl libraries for encryption support.
boost|langs|Y|s|boost cpp libraries.
boost-devel|langs|Y|s|cpp boost development support and debug libraries.
R|langs|Y|s|R statistical programming language.
julia|langs|Y|s|Julia programming language.
scala|langs|Y|s|scala programming language.
icedtea-web|langs|Y|s|java plugin required for firefox browser in Linux.
codeblocks|langs|Y|s|Open Source Alternative for c,cpp development ide.
rlwrap|langs|Y|s|A very useful tool to remember commandline history for Linux terminal clients.
rstudio|langs|Y|c|R Studio for Linux.
ksh|langs|Y|s|korn shell for Linux.
ddd|langs|Y|s|display data debugger, open source alternative for gui based debugging.
gsoap|langs|Y|s|gsoap interface for c,cpp network programming.
libgcc|langs|Y|s|gcc c library implementation.
libstdc++|langs|Y|s|std c++ library for Linux.
nodejs|langs|Y|s|nodejs development env for Linux.
kernel-devel|langs|Y|s|Kernel development module required for vmware workstation and few other apps.
gdb|langs|Y|d|debuginfo rpm package for debugger in gdb
monodevelop|langs|Y|s|.NET development on Linux.
python-devel|langs|Y|s|Python development libraries for debugging.
python3-tkinter|langs|Y|s|Python TK development interface.
devtools|langs|Y|c|C,C++ Development tool suite for Linux.
pipcustom|langs|Y|c|Python commonly used packages for ML learning.
libtool|langs|Y|s|Install the libtool required for building the aescrypt tool.
poco-devel|langs|Y|s|# Install the Poco devel libraries for C++ poco development. [ Ex:- Required for cyclic barrier development ].
log4cpp|langs|Y|s|log4cpp for building applications with proper logging.
log4cpp-devel|langs|Y|s|log4cpp devel package for debugging issues in core logging library.
xerces-c|langs|Y|s|xerces-c for c++ xml based library development.
xerces-c-devel|langs|Y|s|xerces-c for library deugging and development.
libxml|langs|Y|s|xml c/c++ development library.
libxml-devel|langs|Y|s|xml c/c++ development library.
libxml2|langs|Y|s|xml c/c++ development library.
libxml2-devel|langs|Y|s|xml c/c++ development library.
libxml++|langs|Y|s|xml c/c++ development library.
tinyxml|langs|Y|s|Install tinyXML support for C++ development.
protobuf|langs|Y|s|google protobuf for message serilization development.
protobuf-devel|langs|Y|s|google protobuf for message serilization development library debugging.
cmake3|langs|Y|s|install the cmake development packages.
python-virtualenv|langs|Y|s|# Install python virtual env management rpm.
libnsl.i686|langs|Y|s|Required for the 32 bit kdb/q binary.
clang|langs|Y|s|Install the clang compiler support.
java-openjdk|langs|Y|s|Install openjdk jvm implementation.
wine|wine|Y|s|running windows applications on Linux using Wine interface.
notepadplusplus|wine|Y|c|notepad++ tool for Linux.
wintextpad|wine|Y|c|TextPad utility for windows software.
winmerge|wine|Y|c|TextPad utility for windows software.
rarlinux|wine|Y|c|winrar linux command line utility software.
#winrarui|wine|Y|c|winrar linux gui software. # This is disabled due to failure to install and crash.
rufus|wine|Y|c|Rufus useful utility for creating the bootable linux key for emergency purpose.
ide-clion|tools|Y|c|jetbrains c++ ide editor.
ide-intellij|tools|Y|c|jetbrains java ide editor.
pycharm|tools|Y|c|jetbrains python professional development ide.
dotnet-microsoft|tools|Y|c|Microsoft .NET run time sdk and other deve packages.
vscode-microsoft|tools|Y|c|microsoft visual code for development ide.
vmware-workstation-prod|tools|Y|c|vmware workstation pro 15.5 installer for linux.Manage vm machine images.
kate|tools|Y|s|kdb text editor.
golang|langs|Y|s|go language for development.
rpm-devel|tools|Y|s|This package should be installed if you want to develop programs that will manipulate RPM packages and databases.
anaconda-python|tools|Y|c|Anaconda Python and datascience development.
